month	2br			studio			1br			3br			4br			5br		
month	median	25th	75th	median	25th	75th	median	25th	75th	median	25th	75th	median	25th	75th	median	25th	75th
2013-02-18	$2,300	$1,800	$2,900	$1,500	$1,250	$1,775	$1,900	$1,575	$2,375	$2,775	$2,400	$3,350	$3,500	$3,000	$4,000	$4,200	$3,525	$4,900
2013-03-18	$2,200	$1,750	$2,900	$1,450	$1,250	$1,700	$1,800	$1,475	$2,300	$2,512	$2,100	$3,200	$3,200	$2,700	$3,600	$3,600	$3,000	$4,200
2013-04-18	$2,300	$1,800	$2,850	$1,500	$1,300	$1,750	$1,825	$1,500	$2,250	$2,700	$2,400	$3,300	$3,225	$2,900	$3,800	$4,000	$3,500	$4,500
2013-05-18	$2,300	$1,850	$2,800	$1,500	$1,225	$1,800	$1,800	$1,500	$2,250	$2,700	$2,350	$3,200	$3,350	$2,800	$3,900	$4,000	$3,625	$4,600
2013-06-18	$2,300	$1,837	$2,800	$1,500	$1,300	$1,700	$1,800	$1,500	$2,250	$2,675	$2,250	$3,200	$3,200	$2,775	$3,650	$3,900	$3,600	$4,500
2013-07-18	$2,300	$1,825	$2,800	$1,500	$1,300	$1,775	$1,875	$1,550	$2,300	$2,600	$2,237	$3,100	$3,200	$2,800	$3,750	$3,850	$3,600	$4,500
2013-08-18	$2,400	$1,850	$2,975	$1,500	$1,300	$1,750	$1,800	$1,500	$2,250	$2,600	$2,200	$3,200	$3,200	$2,800	$3,800	$3,850	$3,500	$4,250
2013-09-18	$2,100	$1,700	$2,825	$1,575	$1,262	$1,825	$1,950	$1,500	$2,625	$2,100	$1,700	$2,850	$2,975	$2,550	$3,200	$3,100	$2,550	$3,650
2013-10-18	$2,400	$1,800	$3,000	$1,650	$1,400	$2,050	$1,950	$1,500	$2,500	$2,500	$2,000	$3,100	$2,800	$2,437	$3,500	$3,500	$2,900	$4,200
2014-02-18	$2,137	$1,850	$2,931	$1,300	$750	$1,800	$1,900	$1,537	$2,262	$2,825	$2,500	$3,425	$3,025	$2,775	$3,912	$3,800	$3,750	$4,225
2014-03-18	$2,400	$1,900	$2,900	$1,400	$900	$1,700	$2,000	$1,600	$2,450	$2,700	$2,300	$3,300	$3,500	$3,000	$4,000	$4,075	$3,700	$4,500
2014-04-18	$2,475	$1,950	$3,000	$1,350	$900	$1,625	$1,900	$1,550	$2,425	$2,700	$2,300	$3,300	$3,400	$2,900	$4,000	$4,000	$3,575	$4,500
2014-05-18	$2,400	$1,900	$3,000	$1,300	$818	$1,600	$1,900	$1,500	$2,400	$2,800	$2,400	$3,300	$3,400	$2,800	$4,000	$4,000	$3,500	$4,500
2014-06-18	$2,400	$1,975	$2,950	$1,400	$925	$1,700	$2,000	$1,625	$2,450	$2,787	$2,400	$3,300	$3,500	$2,975	$3,950	$4,000	$3,600	$4,500
2014-07-18	$2,400	$1,975	$2,800	$1,350	$900	$1,600	$1,925	$1,600	$2,450	$2,725	$2,400	$3,300	$3,400	$3,000	$3,850	$4,000	$3,500	$4,500
2014-08-18	$2,450	$1,975	$3,000	$1,350	$850	$1,650	$2,000	$1,650	$2,500	$2,700	$2,300	$3,200	$3,400	$2,800	$3,900	$3,937	$3,400	$4,400
2014-09-18	$2,400	$1,900	$3,200	$1,500	$925	$1,900	$2,000	$1,625	$2,550	$2,600	$2,150	$3,200	$3,000	$2,500	$3,600	$4,000	$3,275	$4,625
2014-10-17	$2,400	$1,900	$3,200	$1,475	$900	$1,900	$1,975	$1,600	$2,475	$2,500	$2,050	$3,100	$3,200	$2,700	$3,700	$4,000	$3,200	$4,500
2014-11-17	$2,400	$1,900	$3,068	$2,000	$1,525	$2,550	$2,100	$1,650	$2,550	$2,600	$2,200	$3,300	$3,200	$2,500	$4,000	$4,200	$3,025	$4,600
2014-12-17	$2,400	$1,925	$3,000	$1,400	$900	$1,800	$2,000	$1,625	$2,500	$2,750	$2,200	$3,325	$3,700	$2,900	$4,400	$4,200	$3,700	$4,837
